name,product_template_variant_value_ids/id,default_code,standard_price
SCHW - Naked (LIQ FB)(60mL),variant_schw___naked__liq_fb__60ml__variant_000191,ONT000191,0.0
SCHW - Naked (LIQ FB)(60mL),variant_schw___naked__liq_fb__60ml__variant_000107,ONT000107,0.0
SCHW - Naked (LIQ FB)(60mL),variant_schw___naked__liq_fb__60ml__variant_000123,ONT000123,0.0
SCHW - Naked (LIQ FB)(60mL),variant_schw___naked__liq_fb__60ml__variant_000147,ONT000147,0.0
SCHW - Naked (LIQ FB)(60mL),variant_schw___naked__liq_fb__60ml__variant_000155,ONT000155,0.0
SURN - Suorin Fero (Pods)(1pc) 3mL,variant_surn___suorin_fero__pods__1pc__3ml_0_6ohm,ONT041184,1.45
SURN - Suorin Fero (Pods)(1pc) 3mL,variant_surn___suorin_fero__pods__1pc__3ml_0_8ohm,ONT041185,1.45
TBCO - Tobeco Super Tank (Coils)(5-Pack),variant_tbco___tobeco_super_tank__coils__5_pack__0_5ohm,ONT004015,5.78
TBCO - Tobeco Super Tank (Coils)(5-Pack),variant_tbco___tobeco_super_tank__coils__5_pack__mesh_0_5ohm,ONT007394,6.89
UWLL - Uwell Caliburn A3S (Pods)(4-Pack),variant_uwll___uwell_caliburn_a3s__pods__4_pack__0_8ohm,ONT034309,6.42
UWLL - Uwell Caliburn A3S (Pods)(4-Pack),variant_uwll___uwell_caliburn_a3s__pods__4_pack__1_0ohm,ONT034310,6.42
UWLL - Uwell Caliburn G (Pods)(2-Pack),variant_uwll___uwell_caliburn_g__pods__2_pack__1_0ohm,ONT023585,4.49
UWLL - Uwell Caliburn G (Pods)(2-Pack),variant_uwll___uwell_caliburn_g__pods__2_pack__un2_mesh_h_0_8ohm,ONT017584,4.49
UWLL - Uwell Caliburn X (Pods)(2-Pack) 3mL,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_variant_030236,ONT030236,2.45
UWLL - Uwell Caliburn X (Pods)(2-Pack) 3mL,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_0_8ohm,ONT030237,4.5
UWLL - Uwell Caliburn X (Pods)(2-Pack) 3mL,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_1_0ohm,ONT030238,4.5
UWLL - Uwell Caliburn X (Pods)(2-Pack) 3mL,variant_uwll___uwell_caliburn_x__pods__2_pack__3ml_1_2ohm,ONT030239,4.5
UWLL - Uwell Crown 3 (Coils)(4-Pack),variant_uwll___uwell_crown_3__coils__4_pack__0_4ohm,ONT014776,5.83
UWLL - Uwell Crown 3 (Coils)(4-Pack),variant_uwll___uwell_crown_3__coils__4_pack__0_23ohm,ONT014777,6.35
UWLL - Uwell Crown X (Coils)(4-Pack),variant_uwll___uwell_crown_x__coils__4_pack__0_3ohm,ONT039327,5.05
UWLL - Uwell Crown X (Coils)(4-Pack),variant_uwll___uwell_crown_x__coils__4_pack__0_6ohm,ONT039328,5.04
UWLL - Uwell PA (Coils)(4-Pack),variant_uwll___uwell_pa__coils__4_pack__0_3ohm,ONT031032,5.5
UWLL - Uwell PA (Coils)(4-Pack),variant_uwll___uwell_pa__coils__4_pack__0_8ohm,ONT031033,5.5
UWLL - Uwell Valyrian 2 (Coils)(2-Pack),variant_uwll___uwell_valyrian_2__coils__2_pack__0_32ohm,ONT006959,4.99
UWLL - Uwell Valyrian 2 (Coils)(2-Pack),variant_uwll___uwell_valyrian_2__coils__2_pack__0_14ohm,ONT006960,5.73
UWLL - Uwell Valyrian 2 (Coils)(2-Pack),variant_uwll___uwell_valyrian_2__coils__2_pack__0_16ohm,ONT006961,6.81
UWLL - Uwell Valyrian 3 (Coils)(2-Pack),variant_uwll___uwell_valyrian_3__coils__2_pack__0_14ohm,ONT025452,6.02
UWLL - Uwell Valyrian 3 (Coils)(2-Pack),variant_uwll___uwell_valyrian_3__coils__2_pack__0_32ohm,ONT025451,5.22
UWLL - Uwell Valyrian Pod (Coils)(4-Pack) SE,variant_uwll___uwell_valyrian_pod__coils__4_pack__se_0_6ohm,ONT016104,5.98
UWLL - Uwell Valyrian Pod (Coils)(4-Pack) SE,variant_uwll___uwell_valyrian_pod__coils__4_pack__se_1_0ohm,ONT016103,6.0
VOPO - Voopoo Argus E40 (Pods)(2-Pack) 4.5mL,variant_vopo___voopoo_argus_e40__pods__2_pack__4_5ml_0_3ohm,ONT041634,3.66
VOPO - Voopoo Argus E40 (Pods)(2-Pack) 4.5mL,variant_vopo___voopoo_argus_e40__pods__2_pack__4_5ml_0_45ohm,ONT041635,3.45
VOPO - Voopoo Argus E40 (Pods)(2-Pack) 4.5mL,variant_vopo___voopoo_argus_e40__pods__2_pack__4_5ml_0_6ohm,ONT041636,3.66
VOPO - Voopoo Argus V2 (Pods)(3-Pack) 3mL Top-Fill,variant_vopo___voopoo_argus_v2__pods__3_pack__3ml_top_fill_0_4ohm,ONT046160,8.7
VOPO - Voopoo Argus V2 (Pods)(3-Pack) 3mL Top-Fill,variant_vopo___voopoo_argus_v2__pods__3_pack__3ml_top_fill_1_0ohm,ONT046162,8.7
VOPO - Voopoo PnP (Pods)(2-Pack),variant_vopo___voopoo_pnp__pods__2_pack__variant_017409,ONT017409,3.34
VOPO - Voopoo PnP (Pods)(2-Pack),variant_vopo___voopoo_pnp__pods__2_pack__5ml,ONT035638,3.28
VOPO - Voopoo PnP X (Coils)(5-Pack),variant_vopo___voopoo_pnp_x__coils__5_pack__0_2ohm,ONT038238,7.69
VOPO - Voopoo PnP X (Coils)(5-Pack),variant_vopo___voopoo_pnp_x__coils__5_pack__0_45ohm,ONT041033,7.33
VOPO - Voopoo Vinci V2 (Pods)(3-Pack),variant_vopo___voopoo_vinci_v2__pods__3_pack__0_8ohm,ONT031074,5.26
VOPO - Voopoo Vinci V2 (Pods)(3-Pack),variant_vopo___voopoo_vinci_v2__pods__3_pack__1_2ohm,ONT031075,5.26
VRSO - Vaporesso GTX (Coils)(5-Pack),variant_vrso___vaporesso_gtx__coils__5_pack__0_8ohm_mesh,ONT017917,5.62
VRSO - Vaporesso GTX (Coils)(5-Pack),variant_vrso___vaporesso_gtx__coils__5_pack__1_2ohm,ONT017827,5.62
VRSO - Vaporesso Luxe Q (Pods)(4-Pack) 2mL (All compatible version),variant_vrso___vaporesso_luxe_q__pods__4_pack__2ml__all_compatible_version__0_6ohm_mesh,ONT045066,6.56
VRSO - Vaporesso Luxe Q (Pods)(4-Pack) 2mL (All compatible version),variant_vrso___vaporesso_luxe_q__pods__4_pack__2ml__all_compatible_version__0_8ohm_mesh,ONT045067,6.56
VRSO - Vaporesso Luxe Q (Pods)(4-Pack) 2mL (All compatible version),variant_vrso___vaporesso_luxe_q__pods__4_pack__2ml__all_compatible_version__1_0ohm_mesh,ONT045068,6.56
VRSO - Vaporesso Luxe Q (Pods)(4-Pack) 2mL (All compatible version),variant_vrso___vaporesso_luxe_q__pods__4_pack__2ml__all_compatible_version__1_2ohm_mesh,ONT045069,6.56
VRSO - Vaporesso Luxe Q (Pods)(4-Pack) 3mL,variant_vrso___vaporesso_luxe_q__pods__4_pack__3ml_0_6ohm_mesh,ONT036778,6.46
VRSO - Vaporesso Luxe Q (Pods)(4-Pack) 3mL,variant_vrso___vaporesso_luxe_q__pods__4_pack__3ml_1_0ohm_mesh,ONT036780,6.46
