value,attribute,attribute/id,display_type,create_variant
Raspberry Lemon Mint,,,,
Raspberry Lemonade Freeze,,,,
Raspberry Lush Ice,,,,
Razz Banana,,,,
Razz Pineapple,,,,
Rebirth,,,,
Rebirth Ice,,,,
Red 0 (Ice Watermelon Madness),,,,
Red Apple -,,,,
Red Cherry Chew,,,,
Red Grapplemelon,,,,
Red No. 1,,,,
Red Tobacco,,,,
Red White and Berry,,,,
Reign Berry,,,,
Rich,,,,
Robokitty Cream,,,,
Rocket Man,,,,
Rocket Pop Freeze,,,,
Root,,,,
Royalty II,,,,
Rush,,,,
Ry4 Tobacco,,,,
Satisfying,,,,
Satisfying Iced,,,,
Sea King,,,,
Serenity,,,,
Serenity Ice,,,,
Shamrock Cookie,,,,
Skir Skirrr on Ice,,,,
Slapple,,,,
Slapple Iced,,,,
Slapple Menthol,,,,
Slushy,,,,
Smooth,,,,
Smores,,,,
Smurf Sauce,,,,
Snicker Doodle Crunch,,,,
Snickerdoodle Crunch,,,,
Snitch (Cereal Bar),,,,
Sorbet,,,,
Sour Apple Belt,,,,
Sour Apple Belts,,,,
Sour Apple Blast,,,,
Sour Apple Skittz,,,,
Sour Belts,,,,
Sour Belts Straw-Melon Chew,,,,
Sour Bites,,,,
Sour Double Apple,,,,
Sour Fruity Worms,,,,
Sour Green Apple Chilled,,,,
Sour Orange Gummy,,,,
Sour Raspberry Bubble Gum,,,,
Sour Red,,,,
Sour Summer Splash (Watermelon Green Apple Ice),,,,
Sour Watermelon Strawberry,,,,
Sour Watermelon Strawberry Ice,,,,
Sour Watermelon Strawberry Iced,,,,
Space No. 1,,,,
Spark,,,,
Spearmint Blast,,,,
Spearmint Menthol,,,,
Spoiled Milk,,,,
Starbury (Strawberry Ice),,,,
Starbury (Strawberry),,,,
Starfruit Grape,,,,
Starfruit Grape Ice,,,,
Starzz,,,,
Strapple,,,,
Strapple Iced,,,,
Strapple Peach,,,,
Straw Fcuking Fab,,,,
Straw Guaw,,,,
Straw Guaw Iced,,,,
Straw Lemon,,,,
Straw Melon,,,,
Straw Melon Sour Belts,,,,
Strawberi & Cream,,,,
Strawberry (Candy),,,,
Strawberry (Triple Strawberry Fusion),,,,
Strawberry Apple Wmln,,,,
Strawberry Apple Wmln Freeze,,,,
Strawberry Banana Apple,,,,
Strawberry Banana Apple Iced,,,,
Strawberry Banana Dream,,,,
Strawberry Banana Freeze,,,,
Strawberry Black Berry Lemon Iced,,,,
Strawberry Blackberry Lemon,,,,
Strawberry Blackberry Lemon Iced,,,,
Strawberry Bliss,,,,
Strawberry Blood,,,,
Strawberry Cake,,,,
Strawberry Candy,,,,
Strawberry Cannoli,,,,
Strawberry Cheesecake,,,,
Strawberry Cherry Watermelon Ice,,,,
Strawberry Coconut Refresher,,,,
Strawberry Cream Crepe,,,,
Strawberry Crumble,,,,
Strawberry Crush Ice,,,,
Strawberry Custard,,,,
"Strawberry Custard ""Smash Mouth""",,,,
Strawberry Custard (Smash Mouth),,,,
Strawberry Dipped,,,,
Strawberry Fluff,,,,
Strawberry Graham (Strawberry Pie),,,,
Strawberry Grape Iced,,,,
Strawberry Guava Jackfruit,,,,
Strawberry Gummy,,,,
Strawberry Iced,,,,
Strawberry Icy,,,,
Strawberry Jelly Donut,,,,
Strawberry Kiwi Freeze,,,,
Strawberry Kiwi Pomberry,,,,
Strawberry Kiwi Pomberry Freeze,,,,
Strawberry Kiwi Zushi,,,,
Strawberry Lemon,,,,
Strawberry Lemon Iced,,,,
Strawberry Lilikoi,,,,
Strawberry Lime Ice,,,,
Strawberry Lolly,,,,
Strawberry Lush Bubble Gum,,,,
Strawberry Macaroon,,,,
Strawberry Mango Iced,,,,
Strawberry Mango Nectarine,,,,
