template_key,product_name,volume_ml,category,price,variant_count,template_id
CSTL - Coastal Clouds (LIQ FB)(60mL)|60.0,CSTL - Coastal Clouds (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,4.5,37,TPL_0071
CSTL - Coastal Clouds (LIQ Salt)(30mL) TFN|30.0,CSTL - Coastal Clouds (LIQ Salt)(30mL) TFN,30.0,All / Saleable / E-Juice,4.5,7,TPL_0072
CSTL - Coastal Clouds (LIQ Salt)(30mL)|30.0,CSTL - Coastal Clouds (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.5,22,TPL_0073
CTPT - Goat Bar (Dispo) (25000Puff)(18mL)|18.0,CTPT - Goat Bar (Dispo) (25000Puff)(18mL),18.0,All / Saleable / Disposable E-Cig,7.25,1,TPL_0074
CTTG - ORGNX (LIQ FB)(60mL)|60.0,CTTG - ORGNX (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,4.997727272727273,22,TPL_0075
CTTG - ORGNX (LIQ Salt)(30mL)|30.0,CTTG - ORGNX (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.0,4,TPL_0076
CTWD - Cuttwood (LIQ FB)(120mL)|120.0,CTWD - Cuttwood (LIQ FB)(120mL),120.0,All / Saleable / E-Juice,8.75,1,TPL_0077
CTWD - Cuttwood (LIQ FB)(60mL)|60.0,CTWD - Cuttwood (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,5.25,4,TPL_0078
CTWD - Cuttwood (LIQ Salt)(30mL)|30.0,CTWD - Cuttwood (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.25,1,TPL_0079
DDYS - Badger Hill Reserve (LIQ FB)(120mL; 60mL x2)|nan,DDYS - Badger Hill Reserve (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,8.75,9,TPL_0080
DDYS - Badger Hill Reserve (LIQ Salt)(30mL)|30.0,DDYS - Badger Hill Reserve (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.5,6,TPL_0081
DDYS - Cloud Nurdz (Dispo) (3500Puff) 2.5% (10mL)|10.0,DDYS - Cloud Nurdz (Dispo) (3500Puff) 2.5% (10mL),10.0,All / Saleable / Disposable E-Cig,0.5,1,TPL_0082
DDYS - Cloud Nurdz (Dispo) (3500Puff) 5% (10mL)|10.0,DDYS - Cloud Nurdz (Dispo) (3500Puff) 5% (10mL),10.0,All / Saleable / Disposable E-Cig,0.5,13,TPL_0083
DDYS - Cloud Nurdz (Dispo) (4500Puff) 0% (12mL)|12.0,DDYS - Cloud Nurdz (Dispo) (4500Puff) 0% (12mL),12.0,All / Saleable / Disposable E-Cig,1.95,5,TPL_0084
DDYS - Cloud Nurdz (Dispo) (4500Puff) 5% (12mL)|12.0,DDYS - Cloud Nurdz (Dispo) (4500Puff) 5% (12mL),12.0,All / Saleable / Disposable E-Cig,0.95,15,TPL_0085
DDYS - Cloud Nurdz (LIQ FB)(100mL) TF-Nic|100.0,DDYS - Cloud Nurdz (LIQ FB)(100mL) TF-Nic,100.0,All / Saleable / E-Juice,6.0,78,TPL_0086
DDYS - Cloud Nurdz (LIQ Salt)(30mL) TF-Nic|30.0,DDYS - Cloud Nurdz (LIQ Salt)(30mL) TF-Nic,30.0,All / Saleable / E-Juice,6.0,52,TPL_0087
DDYS - FRYD (LIQ FB)(120mL; 60mL x2)|nan,DDYS - FRYD (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,6.8125,8,TPL_0088
DDYS - French Dude (LIQ FB)(100mL)|100.0,DDYS - French Dude (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,6.0,6,TPL_0089
DDYS - French Dude (LIQ Salt)(30mL)|30.0,DDYS - French Dude (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.6499999999999995,3,TPL_0090
DDYS - Fumi (Dispo) (24000Puff)(18mL)|18.0,DDYS - Fumi (Dispo) (24000Puff)(18mL),18.0,All / Saleable / Disposable E-Cig,6.6,2,TPL_0091
DDYS - I Love Salts (LIQ Salt)(30mL)|30.0,DDYS - I Love Salts (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,4.996666666666667,30,TPL_0092
DDYS - Lost Art (LIQ FB)(100mL) TFN|100.0,DDYS - Lost Art (LIQ FB)(100mL) TFN,100.0,All / Saleable / E-Juice,2.95,1,TPL_0093
DDYS - MRKT PLCE (LIQ FB)(100mL)|100.0,DDYS - MRKT PLCE (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,6.454545454545454,22,TPL_0094
DDYS - MRKT PLCE (LIQ Salt)(30mL)|30.0,DDYS - MRKT PLCE (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.954545454545454,11,TPL_0095
DDYS - Mad Hatter (LIQ FB)(60mL)|60.0,DDYS - Mad Hatter (LIQ FB)(60mL),60.0,All / Saleable / E-Juice,2.45,4,TPL_0096
DDYS - Mega (LIQ FB)(120mL; 60mL x2)|nan,DDYS - Mega (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,8.75,11,TPL_0097
DDYS - Mega (LIQ Salt)(30mL)|30.0,DDYS - Mega (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.5,4,TPL_0098
DDYS - Mints (Dispo) (3500Puff)(8mL)|8.0,DDYS - Mints (Dispo) (3500Puff)(8mL),8.0,All / Saleable / Disposable E-Cig,0.5,3,TPL_0099
DDYS - Mints (LIQ FB)(120mL; 60mL x2)|nan,DDYS - Mints (LIQ FB)(120mL; 60mL x2),,All / Saleable / E-Juice,8.75,15,TPL_0100
DDYS - Mints (LIQ Salt)(30mL)|30.0,DDYS - Mints (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.5,15,TPL_0101
DDYS - No Hype (LIQ FB)(100mL)|100.0,DDYS - No Hype (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,5.5,3,TPL_0102
DDYS - No Hype (LIQ FB)(100mL)|nan,DDYS - No Hype (LIQ FB)(100mL),,All / Saleable / E-Juice,5.5,2,TPL_0103
DDYS - No Hype (LIQ Salt)(30mL)|30.0,DDYS - No Hype (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.5,2,TPL_0104
DDYS - No Hype (LIQ Salt)(30mL)|nan,DDYS - No Hype (LIQ Salt)(30mL),,All / Saleable / E-Juice,5.5,2,TPL_0105
DDYS - Pancake Man (LIQ FB)(100mL)|100.0,DDYS - Pancake Man (LIQ FB)(100mL),100.0,All / Saleable / E-Juice,6.07,5,TPL_0106
DDYS - Pancake Man (LIQ Salt)(30mL)|30.0,DDYS - Pancake Man (LIQ Salt)(30mL),30.0,All / Saleable / E-Juice,5.5,1,TPL_0107
