sku,name,qty,price,category,product_name,flavor,nicotine_mg,volume_ml,template_key,template_id,variant_id
ONT038856,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Passion Mango 50mg,0.1,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Passion Mango,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2880
ONT038857,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Rainbow Candy 50mg,0.05,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Rainbow Candy,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2881
ONT038858,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Sakura Grape 50mg,0.1,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Sakura Grape,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2882
ONT038861,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff - Watermelon Ice 50mg,0.1,4.95,All / Saleable / Disposable E-Cig,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff,Watermelon Ice,50.0,14.0,TNRD - Primo Bar P7000 (Dispo) (7000Puff)(14mL) + Mystery Dispo 700Puff|14.0,TPL_0471,VAR_2883
ONT016723,TNRD - Shijin Vapor (LIQ FB)(100mL) - Tortoise on Ice 06mg,0.05,6.75,All / Saleable / E-Juice,TNRD - Shijin Vapor (LIQ FB)(100mL),Tortoise on Ice,6.0,100.0,TNRD - Shijin Vapor (LIQ FB)(100mL)|100.0,TPL_0472,VAR_2884
ONT016743,TNRD - Shijin Vapor (LIQ Salt)(30mL) - Tortoise on Ice 50mg,0.072727273,5.5,All / Saleable / E-Juice,TNRD - Shijin Vapor (LIQ Salt)(30mL),Tortoise on Ice,50.0,30.0,TNRD - Shijin Vapor (LIQ Salt)(30mL)|30.0,TPL_0473,VAR_2885
ONT021453,TNRD - Tasty O's (LIQ FB)(100mL) - Banana Nut O's 03mg,0.1,6.75,All / Saleable / E-Juice,TNRD - Tasty O's (LIQ FB)(100mL),Banana Nut O's,3.0,100.0,TNRD - Tasty O's (LIQ FB)(100mL)|100.0,TPL_0474,VAR_2886
ONT021457,TNRD - Tasty O's (LIQ FB)(100mL) - Berry O's 06mg,0.05,6.75,All / Saleable / E-Juice,TNRD - Tasty O's (LIQ FB)(100mL),Berry O's,6.0,100.0,TNRD - Tasty O's (LIQ FB)(100mL)|100.0,TPL_0474,VAR_2887
ONT021459,TNRD - Tasty O's (LIQ FB)(100mL) - Frosted O's 03mg,0.2,6.75,All / Saleable / E-Juice,TNRD - Tasty O's (LIQ FB)(100mL),Frosted O's,3.0,100.0,TNRD - Tasty O's (LIQ FB)(100mL)|100.0,TPL_0474,VAR_2888
ONT021460,TNRD - Tasty O's (LIQ FB)(100mL) - Frosted O's 06mg,0.05,6.75,All / Saleable / E-Juice,TNRD - Tasty O's (LIQ FB)(100mL),Frosted O's,6.0,100.0,TNRD - Tasty O's (LIQ FB)(100mL)|100.0,TPL_0474,VAR_2889
ONT035881,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Apple Butter 06mg,0.1666666666666666,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Apple Butter,6.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2890
ONT030045,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Blueberry 03mg,0.1666666666666666,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Blueberry,3.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2891
ONT030052,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Caramel Tobacco 06mg,0.1666666666666666,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Caramel Tobacco,6.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2892
ONT030048,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Lemon 03mg,0.083333333,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Lemon,3.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2893
ONT030058,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Original 03mg,0.1666666666666666,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Original,3.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2894
ONT035884,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Raspberry 03mg,0.083333333,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Raspberry,3.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2895
ONT030062,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic - Strawberry 03mg,0.1666666666666666,6.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic,Strawberry,3.0,100.0,TNTB - Johnny Creampuff (LIQ FB)(100mL) TF-Nic|100.0,TPL_0475,VAR_2896
ONT035895,TNTB - Johnny Creampuff (LIQ Salt)(30mL) TF-Nic - Mango 35mg,0.092592593,3.95,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ Salt)(30mL) TF-Nic,Mango,35.0,30.0,TNTB - Johnny Creampuff (LIQ Salt)(30mL) TF-Nic|30.0,TPL_0476,VAR_2897
ONT030074,TNTB - Johnny Creampuff (LIQ Salt)(30mL) TF-Nic - Original 50mg,0.092592593,5.0,All / Saleable / E-Juice,TNTB - Johnny Creampuff (LIQ Salt)(30mL) TF-Nic,Original,50.0,30.0,TNTB - Johnny Creampuff (LIQ Salt)(30mL) TF-Nic|30.0,TPL_0476,VAR_2898
ONT039081,TRDP - Hi Drip (LIQ FB)(100mL) - Caramel Pear 03mg,0.15625,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Caramel Pear,3.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2899
ONT005138,TRDP - Hi Drip (LIQ FB)(100mL) - Dew Berry 00mg,0.15625,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Dew Berry,0.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2900
ONT005139,TRDP - Hi Drip (LIQ FB)(100mL) - Dew Berry 03mg,0.46875,5.5,All / Saleable / E-Juice,TRDP - Hi Drip (LIQ FB)(100mL),Dew Berry,3.0,100.0,TRDP - Hi Drip (LIQ FB)(100mL)|100.0,TPL_0477,VAR_2901
