id,name,categ_id/id,type,sale_ok,list_price,default_code,attribute_line_ids/attribute_id/id,attribute_line_ids/value_ids/id
template_altz_-_alt_zero_liq_salt30ml_excision,ALTZ - Alt Zero (LIQ Salt)(30mL) Excision,__export__.product_category_27_88c4d517,consu,True,7.25,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7894_8d73e36b,__export__.product_attribute_value_7895_66c06351,__export__.product_attribute_value_8259_4a04a5fd"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8324_caee7279,__export__.product_attribute_value_8332_0eb75a6a"
template_altz_-_alt_zero_liq_salt30ml_tfn,ALTZ - Alt Zero (LIQ Salt)(30mL) TFN,__export__.product_category_27_88c4d517,consu,True,7.25,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7710_29e533df,__export__.product_attribute_value_7711_b040a914"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8324_caee7279,__export__.product_attribute_value_8332_0eb75a6a"
template_altz_-_excision_liq_fb60ml,ALTZ - Excision (LIQ FB)(60mL),__export__.product_category_27_88c4d517,consu,True,7.25,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7216_a420422a,__export__.product_attribute_value_7610_610b1279,__export__.product_attribute_value_7894_8d73e36b,__export__.product_attribute_value_7895_66c06351,__export__.product_attribute_value_8046_0c45cbb3,__export__.product_attribute_value_8259_4a04a5fd,__export__.product_attribute_value_8305_fcbb495a"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_amvh_-_one_hit_wonder_liq_fb100ml_tf-nic,AMVH - One Hit Wonder (LIQ FB)(100mL) TF-Nic,__export__.product_category_27_88c4d517,consu,True,6.50,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7246_55c87ad6,__export__.product_attribute_value_7511_4d9d5b57,__export__.product_attribute_value_7685_35e66fa5,__export__.product_attribute_value_7686_dccbd77b,__export__.product_attribute_value_7775_f57138dd,__export__.product_attribute_value_7843_31949716,__export__.product_attribute_value_7854_5cd39d4f,__export__.product_attribute_value_7855_f3bda233,__export__.product_attribute_value_8047_3c4d80ee,__export__.product_attribute_value_8209_7dd5dc6d"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_amvh_-_one_hit_wonder_liq_salt30ml_tf-nic,AMVH - One Hit Wonder (LIQ Salt)(30mL) TF-Nic,__export__.product_category_27_88c4d517,consu,True,6.00,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_7685_35e66fa5
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8326_8139568c
template_arfy_-_air_factory_liq_fb60ml,ARFY - Air Factory (LIQ FB)(60mL),__export__.product_category_27_88c4d517,consu,True,5.18,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7281_fc57a048,__export__.product_attribute_value_3541_d22a09a0,__export__.product_attribute_value_7468_685d8bae,__export__.product_attribute_value_4311_5ffda77e,__export__.product_attribute_value_7974_a2dd308f,__export__.product_attribute_value_8128_b929eb82,__export__.product_attribute_value_5042_628e49fa,__export__.product_attribute_value_8239_dd5e6c61,__export__.product_attribute_value_8252_b5b49a3a,__export__.product_attribute_value_8289_16d46cca"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_arfy_-_air_factory_liq_salt30ml,ARFY - Air Factory (LIQ Salt)(30mL),__export__.product_category_27_88c4d517,consu,True,5.47,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7281_fc57a048,__export__.product_attribute_value_5805_f47adfe4,__export__.product_attribute_value_7468_685d8bae,__export__.product_attribute_value_4311_5ffda77e,__export__.product_attribute_value_4350_306168c7,__export__.product_attribute_value_7974_a2dd308f,__export__.product_attribute_value_8038_d4a86658,__export__.product_attribute_value_8128_b929eb82,__export__.product_attribute_value_4915_f2092ad6,__export__.product_attribute_value_5042_628e49fa,__export__.product_attribute_value_8239_dd5e6c61,__export__.product_attribute_value_8252_b5b49a3a,__export__.product_attribute_value_8289_16d46cca,__export__.product_attribute_value_8291_0862d849"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8323_24827215,__export__.product_attribute_value_8331_a486c507"
template_axio_-_thursday_dispo_30000puff22ml,AXIO - Thursday (Dispo) (30000Puff)(22mL),__export__.product_category_27_88c4d517,consu,True,7.50,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_5169_aed90786
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_axio_-_yogi_liq_fb60ml,AXIO - Yogi (LIQ FB)(60mL),__export__.product_category_27_88c4d517,consu,True,5.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7225_d1f16de3,__export__.product_attribute_value_7290_bfa2b4c9,__export__.product_attribute_value_3580_d7eb8a69,__export__.product_attribute_value_7691_943e499b,__export__.product_attribute_value_7885_43653bd5,__export__.product_attribute_value_7918_5df30703,__export__.product_attribute_value_7940_9442eeb3,__export__.product_attribute_value_8026_dabb31e0,__export__.product_attribute_value_4873_8aa934a5,__export__.product_attribute_value_8255_41ecae46"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_axio_-_yogi_liq_salt30ml,AXIO - Yogi (LIQ Salt)(30mL),__export__.product_category_27_88c4d517,consu,True,5.75,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7225_d1f16de3,__export__.product_attribute_value_7290_bfa2b4c9,__export__.product_attribute_value_3580_d7eb8a69,__export__.product_attribute_value_7691_943e499b,__export__.product_attribute_value_7885_43653bd5,__export__.product_attribute_value_7918_5df30703,__export__.product_attribute_value_8026_dabb31e0,__export__.product_attribute_value_4873_8aa934a5,__export__.product_attribute_value_8255_41ecae46"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8330_d5ef4fb9,__export__.product_attribute_value_8336_91087ebe"
template_bdlb_-_bad_drip_liq_fb60ml,BDLB - Bad Drip (LIQ FB)(60mL),__export__.product_category_27_88c4d517,consu,True,5.50,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7509_01c1ba34,__export__.product_attribute_value_7945_89f7a329"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_bdvc_-_beard_liq_fb100ml_the_one,BDVC - Beard (LIQ FB)(100mL) The One,__export__.product_category_27_88c4d517,consu,True,5.50,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_7809_dcb48b55
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_bdvc_-_beard_liq_fb120ml,BDVC - Beard (LIQ FB)(120mL),__export__.product_category_27_88c4d517,consu,True,3.90,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7861_f78c1261,__export__.product_attribute_value_7862_4d1edc25,__export__.product_attribute_value_7863_66cb5704,__export__.product_attribute_value_7864_e7aa5c96,__export__.product_attribute_value_7865_98d3cd5c,__export__.product_attribute_value_7866_6ccf6e8c"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_bdvc_-_beard_liq_fb60ml,BDVC - Beard (LIQ FB)(60mL),__export__.product_category_27_88c4d517,consu,True,4.50,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7861_f78c1261,__export__.product_attribute_value_7862_4d1edc25,__export__.product_attribute_value_7863_66cb5704,__export__.product_attribute_value_7864_e7aa5c96,__export__.product_attribute_value_7866_6ccf6e8c"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8320_754bb761,__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_bdvc_-_beard_liq_salt30ml,BDVC - Beard (LIQ Salt)(30mL),__export__.product_category_27_88c4d517,consu,True,5.00,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7861_f78c1261,__export__.product_attribute_value_7862_4d1edc25,__export__.product_attribute_value_7864_e7aa5c96,__export__.product_attribute_value_7865_98d3cd5c,__export__.product_attribute_value_7866_6ccf6e8c"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8329_6e9ee2d4,__export__.product_attribute_value_8336_91087ebe"
template_bdvc_-_beard_liq_salt30ml_the_salty_one,BDVC - Beard (LIQ Salt)(30mL) The Salty One,__export__.product_category_27_88c4d517,consu,True,5.00,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7218_d8de11e1,__export__.product_attribute_value_7243_cc94aeac,__export__.product_attribute_value_4873_8aa934a5"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8329_6e9ee2d4,__export__.product_attribute_value_8336_91087ebe"
template_bdvc_-_fifty_bar_20k_dispo_20000puff18ml_hidden_hills_edt,BDVC - Fifty Bar 20K (Dispo) (20000Puff)(18mL) Hidden Hills Edt,__export__.product_category_27_88c4d517,consu,True,11.00,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_7984_4633d53b
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_bdvc_-_fifty_bar_v2_dispo_20000puff18ml_white_series,BDVC - Fifty Bar V2 (Dispo) (20000Puff)(18mL) White Series,__export__.product_category_27_88c4d517,consu,True,11.00,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_3383_6b8bcd9b,__export__.product_attribute_value_4134_5b33a73e"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_blis_-_bliss_bar_dispo_6000puff14ml,BLIS - Bliss Bar (Dispo) (6000Puff)(14mL),__export__.product_category_27_88c4d517,consu,True,3.25,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_3532_3e5c51b6,__export__.product_attribute_value_7520_c049973c,__export__.product_attribute_value_4034_8397ebeb,__export__.product_attribute_value_7638_76223fe9,__export__.product_attribute_value_4241_24f24852,__export__.product_attribute_value_7838_26897c48,__export__.product_attribute_value_7839_cc27ea4c,__export__.product_attribute_value_4502_d51a17ad,__export__.product_attribute_value_4513_b4f566eb,__export__.product_attribute_value_8078_6c1710f6,__export__.product_attribute_value_4858_2c78f7d3,__export__.product_attribute_value_4908_d8b34f68,__export__.product_attribute_value_4943_2179261e,__export__.product_attribute_value_8229_e1024155,__export__.product_attribute_value_8230_5d09fecb,__export__.product_attribute_value_5142_0d332f6c,__export__.product_attribute_value_8288_b31ccd95"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_blld_-_lucid_boost_dispo_20123puff18ml,"BLLD - Lucid Boost (Dispo) (20,123Puff)(18mL)",__export__.product_category_27_88c4d517,consu,True,6.15,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7453_14c56e20,__export__.product_attribute_value_7723_d076aba4,__export__.product_attribute_value_7879_8bb2244b,__export__.product_attribute_value_7994_f82ad6f0"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_blld_-_lucid_boostyogi_dispo_20123puff18ml,"BLLD - Lucid Boost/Yogi (Dispo) (20,123Puff)(18mL)",__export__.product_category_27_88c4d517,consu,True,7.00,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7343_65b89203,__export__.product_attribute_value_7803_cb5772b8,__export__.product_attribute_value_7941_f56a93a4"
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8336_91087ebe
template_blvk_-_blvk_liq_fb100ml_tf-nic,BLVK - BLVK (LIQ FB)(100mL) TF-Nic,__export__.product_category_27_88c4d517,consu,True,6.00,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7743_d986fd01,__export__.product_attribute_value_7781_bcbb4da6,__export__.product_attribute_value_7818_38f56ed4,__export__.product_attribute_value_4491_48a299de"
,,,,,,,__export__.product_attribute_40_7590b0f7,"__export__.product_attribute_value_8328_936b70e3,__export__.product_attribute_value_8338_1b1c5e4b"
template_blvk_-_blvk_liq_fb100ml_zero,BLVK - BLVK (LIQ FB)(100mL) ZERO,__export__.product_category_27_88c4d517,consu,True,5.00,,__export__.product_attribute_38_d222431b,__export__.product_attribute_value_7518_35d16312
,,,,,,,__export__.product_attribute_40_7590b0f7,__export__.product_attribute_value_8338_1b1c5e4b
template_blvk_-_blvk_liq_fb60ml,BLVK - BLVK (LIQ FB)(60mL),__export__.product_category_27_88c4d517,consu,True,5.00,,__export__.product_attribute_38_d222431b,"__export__.product_attribute_value_7357_80f07941,__export__.product_attribute_value_7405_70f504bc,__export__.product_attribute_value_7454_0805b23b,__export__.product_attribute_value_7480_27028791,__export__.product_attribute_value_7633_9c5361f5,__export__.product_attribute_value_7766_df677c74,__export__.product_attribute_value_7890_ab110c15,__export__.product_attribute_value_8011_5eab3ecc,__export__.product_attribute_value_8091_cdbf0b9a,__export__.product_attribute_value_8122_a292bcd1,__export__.product_attribute_value_8158_6e244032,__export__.product_attribute_value_8197_bb14f572"
