Internal Reference,Product Name,On Hand,Sales Price,Odoo Category,UoM Ratio,Minimum Purchase Qty,Company
ONT028629,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Pineapple Coconut Banana Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028630,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Pineapple Coconut Banana Iced 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030722,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Pineapple Mango Orange 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028631,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Raspberry Green Apple Watermelon 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT028633,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Raspberry Green Apple Watermelon Iced 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT031399,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Strawberry Banana Apple 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031400,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Strawberry Banana Apple 50mg,15,4.75,All / Saleable / E-Juice,50,0.3,Doublelift
ONT031401,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Strawberry Banana Apple Iced 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031402,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Strawberry Banana Apple Iced 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030728,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Strawberry Black Berry Lemon Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030721,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Strawberry Mango Nectarine Iced 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031406,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Watermelon Apple Pear Iced 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030714,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Yellow Green Red Mango 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT030716,7DZE - 7Daze (LIQ Salt)(30mL) Fusion TFN - Yellow Green Red Mango Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044110,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Blue Razz 20mg,10,4.4,All / Saleable / E-Juice,50,0.2,Doublelift
ONT044111,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Blue Razz 50mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044112,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Bomb Pop 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044113,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Bomb Pop 50mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044116,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Georgia Peach 20mg,10,4.4,All / Saleable / E-Juice,50,0.2,Doublelift
ONT044118,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Grapeberry Splash 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044120,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Hawaiian Gummi 20mg,20,4.4,All / Saleable / E-Juice,50,0.4,Doublelift
ONT044126,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Island Tiki Punch 20mg,10,4.4,All / Saleable / E-Juice,50,0.2,Doublelift
ONT044134,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Mango Sunset 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044136,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Rainbow Berries 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044139,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Red Grapplemelon 50mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044140,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Sakura Grape 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044142,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Sour Apple Belts 20mg,20,4.4,All / Saleable / E-Juice,50,0.4,Doublelift
ONT044143,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Sour Apple Belts 50mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044144,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Spearmint Blast 20mg,10,4.4,All / Saleable / E-Juice,50,0.2,Doublelift
ONT044145,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Spearmint Blast 50mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044146,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Strawberry Fluff 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044148,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Strawberry Watermelon 20mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT044149,7DZE - 7Daze (LIQ Salt)(30mL) LIQmate - Strawberry Watermelon 50mg,5,4.4,All / Saleable / E-Juice,50,0.1,Doublelift
ONT000970,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Apple 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT000971,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Apple 50mg,20,4.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT000972,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Apple Iced 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000973,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Apple Iced 50mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000974,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Berries 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000975,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Berries 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT000976,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Berries Iced 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000978,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Grape 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000979,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Grape 50mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT000980,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Grape Iced 30mg,20,4.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT000987,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Mango 50mg,10,2.95,All / Saleable / E-Juice,50,0.2,Doublelift
ONT000988,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Mango Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT015858,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Peach 30mg,20,4.75,All / Saleable / E-Juice,50,0.4,Doublelift
ONT015859,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Peach 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT015860,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Peach Iced 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT015861,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Peach Iced 50mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT012777,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Strawberry 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT012778,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Strawberry 50mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT012779,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Strawberry Iced 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000982,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Watermelon 30mg,50,4.75,All / Saleable / E-Juice,50,1,Doublelift
ONT000983,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Watermelon 50mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT000985,7DZE - 7Daze (LIQ Salt)(30mL) Reds - Watermelon Ice 50mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031991,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100 - Slapple 30mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT031992,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100 - Slapple 50mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031995,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100 - Slapple Iced 30mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT031996,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100 - Slapple Iced 50mg,25,4.75,All / Saleable / E-Juice,50,0.5,Doublelift
ONT031993,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100 - Slapple Menthol 30mg,10,4.75,All / Saleable / E-Juice,50,0.2,Doublelift
ONT031994,7DZE - 7Daze (LIQ Salt)(30mL) Reds/Keep It 100 - Slapple Menthol 50mg,5,4.75,All / Saleable / E-Juice,50,0.1,Doublelift
ONT028440,7DZE - 7Daze (LIQ Salt)(30mL) TF-Nic - Glacial Mint 30mg,50,4.75,All / Saleable / E-Juice,50,1,Doublelift
